,country_name,DV_phys_or_sex_partner_p,DM_age_mean,DM_age_mean,DM_age_marr_mean,DM_age_marr_mean,WK_working_p,DM_urban_p,DM_marr_p,ED_educ_years_mean,FF_TFR,PCA2,PCA3,PCA1,class,country_code,latitude,longitude,GDP
0,Armenia,9.176363636,31.33377005,31.33377005,20.17395722,20.17395722,30.56695187,45.54756684,65.1357754,10.63462567,1.777382353,3.379630782,-0.683752293,3.946792215,2,AM,40.069099,45.038189,7721111227
1,Bangladesh,45.628,25.93577778,25.93577778,15.31705556,15.31705556,22.47133333,19.04144444,79.06583333,3.770611111,2.608616667,-3.682284702,2.241767246,1.001979276,0,BD,23.684994,90.356331,1.14928E+11
2,Benin,22.21166667,28.74713889,28.74713889,18.50030556,18.50030556,74.78325926,40.1524537,73.54125926,2.392537037,5.559405556,-1.791665219,-1.135485093,0.573262198,0,BJ,9.30769,2.315834,6378661421
3,Burkina Faso,11.68307692,28.89346147,28.89346147,17.41423067,17.41423067,83.02846157,18.66269229,79.76038462,1.301153854,6.067307694,-3.674663918,-1.085436003,1.996784969,0,BF,12.238333,-1.561593,7912031760
4,Burundi,42.9825,27.70125,27.70125,19.93625,19.93625,70.64625,28.49875,54.40375,4.43625,5.567125,0.070621902,-0.758133723,-2.43859314,0,BI,-3.373056,29.918886,1865821442
5,Cambodia,16.25899998,29.75685185,29.75685185,19.50401852,19.50401852,68.78348148,16.50442593,63.11357407,4.170740741,3.502877778,0.061269342,-0.786868883,1.929993954,0,KH,12.565679,104.990963,10843579105
6,Cameroon,43.35254717,27.70311321,27.70311321,18.51160377,18.51160377,62.05962264,57.11254717,60.54688679,6.927547142,4.782745283,0.178175343,-0.834345187,-1.812072248,0,CM,7.369722,12.354722,23662011363
7,Colombia,38.54571429,30.33879121,30.33879121,20.13,20.13,53.06714286,78.41505495,52.67648352,8.944835165,2.284516484,3.691520789,-1.796479371,-0.465691348,2,CO,4.570868,-74.297333,2.29636E+11
8,Congo Democratic Republic,56.20227273,28.15681818,28.15681818,18.14545455,18.14545455,65.83636364,39.64590909,66.18227273,5.460909091,6.612090909,-1.685465068,-1.630540291,-2.698294821,0,CD,-4.322447,15.307045,5.54E+10
9,Cote d'Ivoire,24.034,28.32166661,28.32166661,18.20733334,18.20733334,70.61733337,35.41466661,67.576,2.471666671,5.562066663,-1.796351036,-0.754434239,0.078492016,0,CI, 5.345317,-4.024429,7.00E+10
10,Egypt,17.91,22.67694444,22.67694444,19.79851852,19.79851852,12.42268524,35.57518519,63.35833333,4.780740741,3.187138889,0.697840337,4.904840443,-0.26775905,1,,30.033333,31.233334,4.041E+11
11,Ethiopia,22.34727273,27.76128342,27.76128342,16.75534759,16.75534759,37.04494652,36.23037432,62.22858289,3.062754011,4.522457219,-1.824921097,0.749025653,0.699746965,0,ET,9.145,40.489673,32025448038
12,Gabon,50.296,28.04400005,28.04400005,19.1129999,19.1129999,40.32799995,70.11600005,55.75699995,6.86500001,4.88739999,1.269066434,-0.68820421,-2.632912276,0,GA,-0.803689,11.609444,12114572199
13,Ghana,22.935,29.27350667,29.27350667,19.01143333,19.01143333,75.01416667,40.5139,62.43667333,5.676173333,4.530016,0.117565948,-1.392535942,0.457761418,0,GH,7.946527,-1.023194,26190412203
14,Guatemala,17.11,28.6106641,28.6106641,18.23148438,18.23148438,35.53550785,37.57593703,63.24585953,4.883007813,4.283078125,-0.257681913,0.399250032,1.386836077,0,GT,15.783471,-90.230759,40726917996
15,Haiti,20.76571893,28.42924841,28.42924841,19.98424837,19.98424837,43.28084956,33.23647054,57.92633987,4.786764715,4.31111437,0.992627564,0.301350951,0.405130792,0,HT,18.971187,-72.285215,6109304639
