"indicator_category","indicator_code","indicator_description"
"Individual demographic information","DM_age_mean","Average age of women"
"Individual demographic information","DM_age_15-19_p","Women in age category 15-19 (%)"
"Individual demographic information","DM_age_20-24_p","Women in age category 20-24 (%)"
"Individual demographic information","DM_age_25-29_p","Women in age category 25-29 (%)"
"Individual demographic information","DM_age_30-34_p","Women in age category 30-34 (%)"
"Individual demographic information","DM_age_35-39_p","Women in age category 35-39 (%)"
"Individual demographic information","DM_age_40-44_p","Women in age category 40-44 (%)"
"Individual demographic information","DM_age_45-49_p","Women in age category 45-49 (%)"
"Individual demographic information","DM_urban_p","Women living in urban areas (%)"
"Individual demographic information","DM_born_rural_p","Women being born at the country side (%)"
"Individual demographic information","DM_marr_p","Women currently married (%)"
"Individual demographic information","DM_nvr_marr_p","Women never married (%)"
"Individual demographic information","DM_age_marr_mean","Female average age at marriage "
"Individual demographic information","DM_age_diff_mean","Average difference between women and hustband/partner, For currently married women aged 15-24"
"Individual demographic information","DM_age_diff_10plus_p","Young women (aged 15-24) whose partner is 10 years older than them (%)"
"Individual demographic information","DM_age_diff_5_9_p","Young women (aged 15-24) whose partner is between 5 and 9 years older than them (%)"
"Individual demographic information","DM_age_diff_5minus_p","Young women (aged 15-24) whose partner is less than 5 years older than them (%)"
"Individual demographic information","DM_age_diff_0_p","Young women (aged 15-24) whose partner is the same age as them (%)"
"Household characteristics – Womens level","HH_women_time_water_mean","Average time to get to drinking water"
"Household characteristics – Womens level","HH_women_toilet_high_p","Women living in households with high quality toilet facility (%)"
"Household characteristics – Womens level","HH_women_toilet_low_p","Women living in households with low quality toilet facility (%)"
"Household characteristics – Womens level","HH_women_floor_high_p","Women living in a household with high quality floor (%)"
"Household characteristics – Womens level","HH_women_floor_low_p","Women living in a household with low quality floor (%)"
"Household characteristics – Womens level","HH_women_water_high_p","Women living in a household with high quality water access (%)"
"Household characteristics – Womens level","HH_women_water_low_p","Women living in a household with low quality water access (%)"
"Household characteristics – Womens level","HD_women_size_mean","Average number of household members"
"Household characteristics – Womens level","HD_women_children_mean","Average number of children resident in the household under the age of 5"
"Work status","WK_working_p","Women currently working (%)"
"Work status","WK_working12_p","Women who worked in the past 12 months (%)"
"Work status","WK_working_paid_p","Women who women who worked in the past 12 months  who are paid in their work (%)"
"Work status","WK_working_agri_p","Women of women who worked in the past 12 months whose occupation is in agriculture (%)"
"Education","ED_educ_years_mean","Female average/median years of schooling"
"Education","ED_attainment_no_educ_p","Women with no education (%)"
"Education","ED_attainment_primary_p","Women with primary education (%)"
"Education","ED_attainment_primary_completed_p","Women with completed primary education (%)"
"Education","ED_attainment_secondary_p","Women with secondary education (%)"
"Education","ED_attainment_secondary_completed_p","Women with completed secondary education (%)"
"Education","ED_attainment_secondary_higher_p","Women with secondary education or higher education(%)"
"Education","ED_litt_whole_p","Women who can read a whole sentence (%)"
"Education","ED_litt_p","Women who are literate (%)"
"Energy and information","EI_women_elec_p","Women living in an household with electricity (%)"
"Energy and information","EI_women_tv_p","Women living in an household with tv (%)"
"Energy and information","EI_women_radio_p","Women living in an household with radio (%)"
"Energy and information","EI_women_fridge_p","Women living in an household with fridge (%)"
"Energy and information","EI_women_telephone_p","Women living in an household with a telephone (%)"
"Energy and information","EI_women_modern_cooking_p","Women using modern fuel as main cooking fuel (%)"
